Sector,Fila,Columna,Distancia
0,4,23,2502.1553
0,4,24,2728.61
0,4,25,2956.7983
0,4,26,3186.3478
0,4,27,3416.9842
0,4,28,3648.5014
0,4,29,3880.7417
0,4,30,4113.5827
0,4,31,4346.9278
0,4,32,4580.7
0,4,33,4814.8371
0,4,34,5049.2883
0,4,35,5284.0119
0,4,36,5518.973
0,4,37,5754.1425
0,4,38,5989.496
0,4,39,6225.0126
0,4,40,6460.6743
0,4,41,6696.466
0,4,42,6932.3742
0,4,43,7168.3876
0,4,44,7404.4961
0,5,0,3261.1587
0,5,1,3037.2685
0,5,2,2815.6094
0,5,3,2596.7528
0,5,4,2381.4714
0,5,5,2170.8293
0,5,6,1966.3179
0,5,7,1770.0636
0,5,8,1585.136
0,5,9,1415.9802
0,5,10,1268.9193
0,5,11,1152.4431
0,5,12,1076.5251
0,5,13,1050.0
0,5,14,1076.5251
0,5,15,1152.4431
0,5,16,1268.9193
0,5,17,1415.9802
0,5,18,1585.136
0,5,19,1770.0636
0,5,20,1966.3179
0,5,21,2170.8293
0,5,22,2381.4714
0,5,23,2596.7528
0,5,24,2815.6094
0,5,25,3037.2685
0,5,26,3261.1587
0,5,27,3486.8503
0,5,28,3714.0148
0,5,29,3942.3977
0,5,30,4171.7989
0,5,31,4402.0592
0,5,32,4633.0504
0,5,33,4864.6685
0,5,34,5096.8281
0,5,35,5329.4582
0,5,36,5562.5
0,5,37,5795.9037
0,5,38,6029.6274
0,5,39,6263.6351
0,5,40,6497.8963
0,5,41,6732.3844
0,5,42,6967.0766
0,5,43,7201.9529
0,5,44,7436.9958
0,6,0,3354.8938
0,6,1,3137.6992
0,6,2,2923.6642
0,6,3,2713.5367
0,6,4,2508.2987
0,6,5,2309.2545
0,6,6,2118.1507
0,6,7,1937.3387
0,6,8,1769.9753
0,6,9,1620.2334
0,6,10,1493.4231
0,6,11,1395.8085
0,6,12,1333.815
0,6,13,1312.5
0,6,14,1333.815
0,6,15,1395.8085
0,6,16,1493.4231
0,6,17,1620.2334
0,6,18,1769.9753
0,6,19,1937.3387
0,6,20,2118.1507
0,6,21,2309.2545
0,6,22,2508.2987
0,6,23,2713.5367
0,6,24,2923.6642
0,6,25,3137.6992
0,6,26,3354.8938
0,6,27,3574.6722
0,6,28,3796.5856
0,6,29,4020.2806
0,6,30,4245.4755
0,6,31,4471.9438
0,6,32,4699.5013
0,6,33,4927.9972
0,6,34,5157.3067
0,6,35,5387.326
0,6,36,5617.9678
0,6,37,5849.1586
0,6,38,6080.8357
0,6,39,6312.9455
0,6,40,6545.4421
0,6,41,6778.2856
0,6,42,7011.4415
0,6,43,7244.8797
0,6,44,7478.5736
0,7,0,3466.0181
0,7,1,3256.244
0,7,2,3050.5379
0,7,3,2849.7807
0,7,4,2655.0953
0,7,5,2467.9192
0,7,6,2290.0942
0,7,7,2123.9703
0,7,8,1972.5063
0,7,9,1839.3273
0,7,10,1728.6646
0,7,11,1645.0684
0,7,12,1592.8061
0,7,13,1575.0
0,7,14,1592.8061
0,7,15,1645.0684
0,7,16,1728.6646
0,7,17,1839.3273
0,7,18,1972.5063
0,7,19,2123.9703
0,7,20,2290.0942
0,7,21,2467.9192
0,7,22,2655.0953
0,7,23,2849.7807
0,7,24,3050.5379
0,7,25,3256.244
0,7,26,3466.0181
0,7,27,3679.1643
0,7,28,3895.1292
0,7,29,4113.4687
0,7,30,4333.8241
0,7,31,4555.9028
0,7,32,4779.4645
0,7,33,5004.3106
0,7,34,5230.2754
0,7,35,5457.22
0,7,36,5685.0269
0,7,37,5913.5966
0,7,38,6142.8439
0,7,39,6372.6957
0,7,40,6603.0888
0,7,41,6833.9685
0,7,42,7065.2871
0,7,43,7297.0028
0,7,44,7529.079
0,8,0,3592.9184
0,8,1,3391.0037
0,8,2,3193.9885
0,8,3,3002.8372
0,8,4,2818.7431
0,8,5,2643.1811
0,8,6,2477.9654
0,8,7,2325.3024
0,8,8,2187.8214
0,8,9,2068.5517
0,8,10,1970.8025
0,8,11,1897.9018
0,8,12,1852.7851
0,8,13,1837.5
0,8,14,1852.7851
0,8,15,1897.9018
0,8,16,1970.8025
0,8,17,2068.5517
0,8,18,2187.8214
0,8,19,2325.3024
0,8,20,2477.9654
0,8,21,2643.1811
0,8,22,2818.7431
0,8,23,3002.8372
0,8,24,3193.9885
0,8,25,3391.0037
0,8,26,3592.9184
0,8,27,3798.9513
0,8,28,4008.4676
0,8,29,4220.9485
0,8,30,4435.968
0,8,31,4653.1743
